Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
0,580489.0,en,Venom: Let There Be Carnage,5401.308,2021-09-30,6.8,1736.0,Science Fiction,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",424000000.0,97.0,
1,524434.0,en,Eternals,3365.535,2021-11-03,7.1,622.0,Action,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",165000000.0,157.0,In the beginning...
2,438631.0,en,Dune,2911.423,2021-09-15,8.0,3632.0,Action,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",331116356.0,155.0,"Beyond fear, destiny awaits."
3,796499.0,en,Army of Thieves,2552.437,2021-10-27,6.9,555.0,Action,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,0.0,127.0,"Before Vegas, one locksmith became a legend."
4,550988.0,en,Free Guy,1850.47,2021-08-11,7.8,3493.0,Comedy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,331096766.0,115.0,Life's too short to be a background character.
5,574060.0,en,Gunpowder Milkshake,1453.423,2021-07-14,6.5,347.0,Action,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",344931.0,114.0,Revenge is best served ice cold.
6,335983.0,en,Venom,1212.352,2018-09-28,6.8,12126.0,Science Fiction,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",855013954.0,112.0,The world has enough Superheroes.
7,610253.0,en,Halloween Kills,1023.024,2021-10-14,7.0,1134.0,Horror,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",118852075.0,105.0,Evil dies tonight.
8,871964.0,pl,W lesie dziś nie zaśnie nikt 2,1089.852,2021-10-27,4.1,72.0,Horror,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",0.0,96.0,
9,768449.0,en,American Badger,1148.822,2021-03-05,6.3,14.0,Action,"A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",0.0,88.0,Justice Before Redemption
10,639721.0,en,The Addams Family 2,1031.821,2021-10-01,7.4,562.0,Animation,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,93258233.0,93.0,Unhappy to see you again.
11,843241.0,ja,劇場版 七つの大罪 光に呪われし者たち,1108.815,2021-07-02,8.4,210.0,Animation,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",0.0,0.0,
